cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;2,34%;0,10%;0,15%;0,15%;0,14%;0,11%;0,07%;0,00%;0,13%;1,16%;0,44%;0,39%;0,22%;0,09%;0,12%;0,00%;0,35%;8,49%;13,06%;13,21%;12,81%;10,14%;8,05%;0,00%;12,72%;0,07%;0,05%;0,05%;0,04%;0,03%;0,02%;0,00%;0,02%;6,75%;3,42%;4,32%;11,10%;0,01%;0,00%;0,00%;4,02%;1,07%;1,14%;2,43%;5,81%;6,16%;2,34%;0,00%;3,71%;0,16%;0,87%;0,26%;0,54%;0,82%;1,40%;0,04%;0,58%;0,00%;0,70%;3,71%;2,09%;0,64%;0,42%;0,56%;0,00%;1,61%;6,53%;21,16%;19,72%;20,83%;18,30%;0,36%;0,00%;15,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,60%;6,99%;23,96%;3,76%;3,95%;46,86%;0,00%;11,62%;0,00%;0,03%;0,27%;0,00%;0,00%;0,00%;0,00%;0,12%;0,17%;1,81%;0,63%;0,74%;0,53%;0,13%;0,31%;0,80%;4,24%;5,22%;5,82%;4,51%;1,84%;0,07%;0,23%;2,22%;0,84%;0,27%;0,54%;2,21%;3,57%;1,14%;0,00%;1,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,92%;5,83%;9,38%;1,71%;0,04%;0,02%;2,59%
b3S%;b3S - Cooperativa de Crédito Singulares;dez/19;4,47%;1,05%;2,55%;2,57%;2,57%;2,75%;4,41%;0,13%;2,79%;6,14%;15,02%;21,34%;21,64%;20,89%;22,65%;1,84%;19,42%;0,99%;2,05%;2,31%;2,76%;3,86%;10,07%;0,00%;2,57%;0,01%;0,05%;0,05%;0,05%;0,05%;0,05%;0,00%;0,04%;0,75%;1,02%;0,85%;0,04%;0,08%;0,05%;0,00%;0,94%;5,34%;21,35%;21,37%;9,41%;4,90%;3,63%;0,00%;13,69%;5,07%;10,00%;13,26%;10,59%;10,92%;13,65%;1,82%;10,86%;0,00%;7,11%;8,44%;10,38%;11,19%;13,54%;17,37%;0,14%;10,73%;2,72%;6,33%;7,10%;7,26%;6,48%;1,48%;0,05%;5,71%;8,06%;7,15%;25,79%;18,90%;0,71%;1,42%;0,00%;11,28%;17,31%;4,19%;1,18%;0,04%;0,05%;0,00%;0,00%;3,31%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,83%;4,71%;6,62%;9,89%;10,46%;7,68%;0,22%;6,82%;0,08%;0,14%;0,13%;0,11%;0,09%;0,00%;0,00%;0,06%;0,52%;3,73%;3,18%;2,65%;1,59%;0,47%;0,00%;2,73%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;14,97%;17,56%;7,07%;0,36%;4,46%;0,00%;2,43%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,33%;0,72%;0,20%;0,20%;0,01%;0,00%;0,38%;0,00%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,09%;0,28%;0,14%;0,01%;0,01%;0,10%;0,00%;0,01%;0,07%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,06%;0,38%;0,00%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;dez/19;0,20%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,09%;1,04%;0,79%;2,23%;2,46%;2,14%;0,02%;1,57%;0,01%;0,02%;0,06%;0,13%;0,20%;0,13%;0,00%;0,07%;0,00%;0,08%;0,10%;0,12%;0,20%;0,56%;0,12%;9,77%;0,22%;0,58%;0,55%;0,53%;0,71%;0,81%;0,20%;0,06%;0,56%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,13%;0,31%;0,52%;0,28%;0,01%;0,00%;0,25%;36,53%;38,93%;43,73%;49,98%;56,37%;65,63%;66,93%;57,17%;1,11%;8,08%;5,11%;22,88%;34,97%;42,54%;96,09%;15,27%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,39%;1,63%;2,95%;32,78%;0,01%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;dez/19;1,45%;0,71%;0,55%;0,40%;0,25%;0,16%;0,09%;0,00%;0,28%;15,23%;6,50%;3,82%;0,58%;0,09%;0,51%;0,99%;3,42%;1,32%;1,28%;1,32%;1,29%;0,95%;0,70%;0,00%;1,27%;2,40%;0,54%;0,41%;0,34%;0,30%;0,30%;0,32%;0,33%;12,17%;5,59%;7,39%;4,30%;1,79%;0,00%;0,00%;6,51%;0,43%;0,21%;0,20%;0,61%;0,65%;0,76%;0,00%;0,43%;1,21%;0,47%;0,47%;0,26%;0,19%;0,52%;2,07%;0,48%;0,00%;0,78%;0,45%;0,43%;0,39%;0,32%;0,53%;0,04%;0,41%;3,82%;6,21%;5,03%;4,85%;3,97%;1,09%;1,18%;4,03%;0,00%;0,02%;0,18%;0,00%;0,00%;0,00%;0,00%;0,05%;0,39%;0,13%;1,12%;0,38%;0,62%;17,85%;0,02%;0,42%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,14%;0,08%;0,15%;0,12%;0,00%;0,00%;0,10%;0,94%;0,63%;0,77%;0,85%;0,62%;0,19%;0,00%;0,47%;1,00%;0,10%;0,39%;1,01%;0,59%;0,48%;0,00%;0,51%;0,00%;0,00%;0,00%;0,48%;0,01%;0,05%;0,00%;0,21%;1,62%;1,04%;1,78%;0,30%;1,44%;0,00%;12,21%
n2%;n2 - Não Bancário de Mercado de Capitais;dez/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,21%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4%;n4 - Instituições de Pagamento;dez/19;0,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,14%;4,15%;2,94%;4,04%;0,00%;0,00%;0,00%;3,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,49%;1,49%;0,73%;0,01%;0,00%;0,00%;0,00%;1,10%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,30%;0,08%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,49%
C%;C - Conglomerado;dez/19;63,23%;57,19%;75,86%;78,89%;79,68%;81,02%;77,37%;85,23%;78,99%;69,95%;73,38%;69,01%;72,90%;76,23%;75,33%;95,12%;72,05%;88,46%;85,49%;85,22%;85,32%;86,08%;82,02%;99,62%;85,41%;16,33%;27,78%;27,47%;27,49%;27,03%;27,23%;33,64%;28,36%;73,78%;84,11%;83,74%;79,36%;93,33%;81,71%;100,00%;83,14%;81,11%;71,59%;69,30%;73,24%;76,99%;81,60%;99,61%;73,15%;71,62%;66,06%;56,48%;68,48%;66,74%;66,96%;81,08%;64,51%;100,00%;58,21%;77,65%;74,42%;72,93%;65,48%;70,95%;86,97%;73,34%;82,73%;68,46%;70,78%;71,16%;76,89%;96,90%;98,72%;77,49%;80,49%;91,25%;60,86%;78,79%;99,29%;98,58%;100,00%;84,00%;75,82%;88,04%;76,56%;91,63%;95,38%;35,29%;99,98%;84,90%;84,90%;89,23%;87,29%;85,99%;96,61%;99,08%;100,00%;89,53%;77,41%;83,61%;85,57%;79,46%;80,80%;87,02%;94,17%;83,26%;30,12%;29,27%;32,22%;26,90%;20,32%;13,55%;15,29%;20,52%;73,35%;83,16%;78,66%;64,23%;55,12%;52,51%;3,91%;71,68%;59,70%;49,55%;47,80%;59,34%;86,08%;51,06%;96,29%;56,41%;54,28%;62,71%;69,29%;50,87%;91,03%;99,78%;70,88%
I%;I - Instituição independente;dez/19;36,77%;42,81%;24,14%;21,11%;20,32%;18,98%;22,63%;14,77%;21,01%;30,05%;26,62%;30,99%;27,10%;23,77%;24,67%;4,88%;27,95%;11,54%;14,51%;14,78%;14,68%;13,92%;17,98%;0,38%;14,59%;83,67%;72,22%;72,53%;72,51%;72,97%;72,77%;66,36%;71,64%;26,22%;15,89%;16,26%;20,64%;6,67%;18,29%;0,00%;16,86%;18,89%;28,41%;30,70%;26,76%;23,01%;18,40%;0,39%;26,85%;28,38%;33,94%;43,52%;31,52%;33,26%;33,04%;18,92%;35,49%;0,00%;41,79%;22,35%;25,58%;27,07%;34,52%;29,05%;13,03%;26,66%;17,27%;31,54%;29,22%;28,84%;23,11%;3,10%;1,28%;22,51%;19,51%;8,75%;39,14%;21,21%;0,71%;1,42%;0,00%;16,00%;24,18%;11,96%;23,44%;8,37%;4,62%;64,71%;0,02%;15,10%;15,10%;10,77%;12,71%;14,01%;3,39%;0,92%;0,00%;10,47%;22,59%;16,39%;14,43%;20,54%;19,20%;12,98%;5,83%;16,74%;69,88%;70,73%;67,78%;73,10%;79,68%;86,45%;84,71%;79,48%;26,65%;16,84%;21,34%;35,77%;44,88%;47,49%;96,09%;28,32%;40,30%;50,45%;52,20%;40,66%;13,92%;48,94%;3,71%;43,59%;45,72%;37,29%;30,71%;49,13%;8,97%;0,22%;29,12%
1%;1 - Público;mar/20;46,44%;56,42%;38,07%;38,90%;42,28%;47,43%;60,61%;98,76%;44,56%;21,16%;20,22%;28,83%;32,60%;47,42%;60,77%;92,74%;31,14%;2,77%;2,21%;2,05%;1,96%;2,86%;0,52%;96,00%;2,14%;84,14%;75,84%;74,80%;75,42%;76,60%;79,76%;86,73%;79,25%;14,38%;18,23%;11,70%;7,06%;2,28%;13,21%;99,98%;16,04%;82,53%;54,43%;63,86%;64,36%;69,87%;76,89%;99,77%;65,19%;23,19%;22,45%;23,33%;15,12%;20,80%;34,19%;67,61%;21,73%;4,28%;49,00%;17,42%;26,92%;30,91%;31,91%;24,96%;56,94%;27,61%;45,69%;19,23%;19,64%;28,49%;50,44%;87,46%;23,03%;42,20%;17,58%;9,77%;20,44%;24,46%;44,33%;0,00%;4,39%;14,11%;16,49%;5,51%;4,30%;13,89%;0,00%;0,00%;0,00%;5,33%;50,73%;18,85%;22,04%;18,39%;25,69%;1,65%;0,00%;20,71%;37,35%;32,37%;24,75%;29,89%;34,79%;51,43%;33,06%;32,19%;87,21%;78,00%;75,81%;80,04%;88,34%;94,46%;95,45%;87,71%;66,93%;33,85%;30,01%;63,79%;66,85%;77,18%;41,05%;45,20%;63,42%;61,44%;64,82%;53,85%;26,61%;58,63%;96,52%;57,47%;23,26%;27,46%;27,01%;59,30%;8,52%;7,57%;17,97%
2%;2 - Privado Nacional;mar/20;39,22%;25,58%;47,77%;46,97%;44,17%;40,03%;27,22%;0,35%;42,05%;65,92%;73,27%;63,56%;55,67%;40,55%;32,29%;3,51%;59,50%;63,82%;59,52%;59,21%;58,94%;55,26%;39,42%;0,00%;58,89%;13,19%;17,83%;18,13%;17,68%;16,85%;14,60%;9,37%;14,93%;66,21%;62,47%;69,52%;68,80%;67,44%;10,16%;0,00%;64,60%;9,70%;32,19%;28,96%;22,14%;15,69%;15,04%;0,23%;23,83%;53,76%;56,01%;47,71%;51,87%;37,53%;32,91%;18,38%;49,84%;92,12%;40,29%;59,98%;58,29%;56,73%;54,03%;59,11%;11,77%;57,24%;31,85%;45,52%;43,70%;37,43%;24,69%;3,18%;1,66%;29,63%;70,02%;73,35%;57,52%;63,32%;52,51%;90,60%;0,04%;68,72%;63,05%;57,59%;42,07%;48,89%;88,52%;22,52%;98,49%;53,42%;24,84%;43,87%;37,31%;48,10%;50,29%;92,80%;100,00%;44,45%;47,18%;50,13%;52,07%;49,21%;50,81%;43,06%;56,62%;49,82%;5,36%;15,01%;15,86%;13,68%;8,76%;5,15%;4,32%;9,07%;16,58%;42,08%;37,77%;20,97%;17,35%;14,78%;58,95%;31,02%;30,79%;28,65%;25,27%;41,37%;71,00%;29,04%;3,48%;35,55%;56,58%;52,75%;47,58%;24,46%;59,50%;80,98%;64,93%
3%;3 - Privado com Controle Estrangeiro;mar/20;14,34%;18,00%;14,16%;14,12%;13,54%;12,53%;12,17%;0,89%;13,40%;12,91%;6,51%;7,62%;11,73%;12,03%;6,94%;3,75%;9,36%;33,41%;38,26%;38,74%;39,10%;41,88%;60,06%;4,00%;38,97%;2,67%;6,33%;7,08%;6,90%;6,56%;5,63%;3,90%;5,81%;19,41%;19,30%;18,78%;24,14%;30,28%;76,63%;0,02%;19,36%;7,77%;13,38%;7,18%;13,49%;14,45%;8,06%;0,00%;10,98%;23,05%;21,54%;28,96%;33,02%;41,68%;32,90%;14,01%;28,43%;3,60%;10,71%;22,59%;14,79%;12,36%;14,06%;15,93%;31,28%;15,15%;22,46%;35,25%;36,66%;34,08%;24,88%;9,36%;75,30%;28,17%;12,40%;16,88%;22,04%;12,22%;3,17%;9,40%;95,57%;17,18%;20,46%;36,91%;53,63%;37,22%;11,48%;77,48%;1,51%;41,25%;24,43%;37,28%;40,65%;33,51%;24,02%;5,56%;0,00%;34,84%;15,47%;17,50%;23,18%;20,91%;14,39%;5,51%;10,31%;17,99%;7,43%;6,99%;8,33%;6,28%;2,90%;0,39%;0,22%;3,22%;16,50%;24,07%;32,22%;15,24%;15,80%;8,05%;0,00%;23,78%;5,79%;9,91%;9,90%;4,78%;2,39%;12,33%;0,00%;6,97%;20,16%;19,79%;25,41%;16,24%;31,99%;11,45%;17,10%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/20;91,09%;98,36%;96,78%;96,85%;96,99%;96,93%;95,40%;99,84%;96,77%;81,62%;76,92%;76,92%;77,50%;79,22%;78,14%;96,57%;77,67%;88,82%;83,52%;83,32%;83,23%;84,96%;82,13%;100,00%;83,51%;96,65%;99,47%;99,50%;99,58%;99,61%;99,64%;99,69%;99,61%;78,74%;84,93%;84,68%;86,60%;98,99%;100,00%;100,00%;84,39%;91,77%;70,23%;78,90%;82,28%;85,75%;90,64%;99,93%;81,01%;87,39%;87,00%;86,30%;88,68%;87,80%;83,54%;95,83%;87,14%;100,00%;90,17%;85,94%;87,47%;86,81%;83,14%;79,12%;88,21%;86,44%;82,88%;67,99%;66,79%;66,51%;71,08%;97,28%;99,80%;74,56%;91,46%;92,58%;72,02%;90,46%;99,82%;97,60%;99,96%;88,94%;71,52%;88,74%;77,28%;94,57%;94,52%;45,25%;99,99%;85,57%;100,00%;99,88%;99,58%;100,00%;100,00%;100,00%;100,00%;99,81%;97,00%;93,39%;92,37%;88,52%;88,22%;91,28%;99,44%;91,94%;40,98%;55,45%;48,20%;43,56%;41,09%;33,98%;31,37%;39,43%;93,77%;87,21%;92,15%;71,46%;60,17%;55,85%;58,95%;81,00%;100,00%;100,00%;100,00%;99,43%;99,99%;99,95%;100,00%;99,75%;74,75%;76,22%;79,83%;68,58%;93,04%;99,98%;78,18%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/20;2,34%;0,09%;0,15%;0,14%;0,13%;0,10%;0,07%;0,00%;0,12%;1,11%;0,43%;0,39%;0,23%;0,10%;0,10%;0,00%;0,35%;8,98%;13,03%;13,06%;12,66%;10,09%;6,44%;0,00%;12,60%;0,08%;0,05%;0,05%;0,04%;0,03%;0,02%;0,00%;0,02%;6,95%;3,78%;4,51%;7,97%;0,00%;0,00%;0,00%;4,34%;0,85%;4,29%;1,29%;5,67%;6,24%;2,77%;0,00%;3,81%;0,08%;0,19%;0,26%;0,54%;0,83%;1,49%;0,11%;0,40%;0,00%;0,56%;4,44%;1,33%;0,57%;0,64%;0,58%;0,00%;1,47%;8,28%;20,13%;20,47%;20,97%;18,03%;0,29%;0,00%;15,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;9,76%;6,52%;20,21%;4,98%;4,40%;38,67%;0,00%;10,31%;0,00%;0,12%;0,42%;0,00%;0,00%;0,00%;0,00%;0,19%;0,26%;1,44%;0,64%;0,73%;0,57%;0,18%;0,32%;0,74%;2,77%;4,90%;5,80%;4,34%;1,71%;0,07%;0,22%;2,11%;0,12%;1,09%;0,32%;2,22%;3,59%;1,21%;0,00%;1,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;8,20%;5,44%;8,51%;1,37%;0,04%;0,02%;2,70%
b3S%;b3S - Cooperativa de Crédito Singulares;mar/20;4,50%;0,94%;2,56%;2,58%;2,60%;2,79%;4,43%;0,15%;2,82%;6,14%;17,46%;19,73%;21,81%;20,58%;21,24%;2,08%;19,35%;1,04%;2,17%;2,31%;2,79%;3,93%;10,55%;0,00%;2,61%;0,01%;0,06%;0,06%;0,06%;0,06%;0,05%;0,01%;0,05%;0,82%;1,09%;0,85%;0,01%;0,00%;0,00%;0,00%;0,97%;5,73%;24,40%;18,83%;9,44%;5,13%;3,95%;0,00%;13,28%;5,36%;10,60%;12,24%;10,43%;10,99%;14,30%;1,68%;10,73%;0,00%;7,57%;8,47%;10,20%;11,76%;15,37%;19,84%;0,51%;11,09%;3,45%;5,97%;7,31%;7,30%;6,46%;1,45%;0,05%;5,69%;8,49%;7,41%;27,77%;9,54%;0,18%;2,40%;0,04%;11,01%;17,57%;4,65%;1,25%;0,04%;0,07%;0,00%;0,00%;3,68%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,61%;4,91%;6,51%;9,85%;10,71%;8,48%;0,23%;6,88%;0,08%;0,15%;0,15%;0,13%;0,10%;0,00%;0,00%;0,07%;4,30%;4,74%;2,43%;2,93%;1,47%;0,55%;0,00%;2,62%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;15,03%;15,88%;6,96%;0,38%;4,63%;0,00%;2,49%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,42%;0,63%;0,49%;0,19%;0,18%;0,01%;0,00%;0,36%;0,00%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,09%;0,29%;0,14%;0,02%;0,01%;0,11%;0,00%;0,02%;0,05%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,02%;0,35%;0,00%;0,00%;0,00%;0,00%
